created_at,id,text,retweet_count,favorite_count
Wed Oct 21 20:42:02 +0000 2020,1319016113234190339,"Se tornaram vergonhosas! Na Petrobras um funcionário ganhava 200000,00! Sabe quanto ganha o presidente da República?? https://t.co/xh31OI8pfG",0,1
Wed Oct 21 20:40:05 +0000 2020,1319015623616307204,"Apesar do ano terrível para a indústria petrolífera mundo afora, a estatal brasileira Petrobras revisou para cima a sua projeção de produção de óleo e gás. 

https://t.co/sg0QGgbPSM",33,200
Wed Oct 21 20:39:31 +0000 2020,1319015482259697664,UBS e BTG Pactual recomendam compra de ações da Petrobras https://t.co/wCxoY1zjst,0,1
Wed Oct 21 20:36:01 +0000 2020,1319014598931107840,"O Parque é uma parceria entre a Prefeitura e a Petrobrás, e abriga um bosque formado por árvores como pau-brasil, quaresmeiras, sibipirunas a aribás",0,0
Wed Oct 21 20:35:14 +0000 2020,1319014403245805574,"Segundo o Sindicato dos Revenderes, com um novo aumento anunciado pela Petrobras hoje, o botijão já subiu mais de R$ 10 este ano no atacado e pode custar até R$ 90 para o consumidor

📲 Leia Agora no #OPOPULAR
https://t.co/PpTOW5TMVY",0,4
Wed Oct 21 20:25:05 +0000 2020,1319011850848247813,"Q coisa mais ridícula! 
Essa maluca deve estar se referindo ou a alguma peça teatral ou ao a pandemia q fechou teatros ou à quebra da Globo, afinal ficou sem emprego! 
É a única explicação!
Não pode ser por causa da Rouanet...Petrobras. Seus musicais tinham patrocínio público? 😠 https://t.co/g8ZrCJiZUU",4,10
Wed Oct 21 20:24:44 +0000 2020,1319011761480138758,"Não é só Bolsonaro e a Lava Jato, os militares e o judiciário querem destruir a Petrobras https://t.co/mPAYDiOqoO",0,0
Wed Oct 21 20:10:08 +0000 2020,1319008087588720643,Petrobras inicia Pesquisa Sísmica Marítima Streamer 3D/4D https://t.co/0aF3Ro2bTz,0,0
Wed Oct 21 20:01:06 +0000 2020,1319005811868356611,"👷Bons resultados no 3T20 levam GoldmanSachs a recomendar Petrobras (#PETR3 e #PETR4).
#einvestidor
https://t.co/bMbamHklqM",1,2
Wed Oct 21 19:59:52 +0000 2020,1319005504891387904,"Lava Jato: a estratégia geopolítica para desnacionalizar a Petrobrás e o pré-sal
Reportagem especial do @PETROLEIROS_SP reconta a história da operação e sua estreita relação com os EUA
https://t.co/Q8LqVW6CCE",3,8
Wed Oct 21 19:59:13 +0000 2020,1319005340969652224,"Petrobras (PETR3 e PETR4): Goldman Sachs projeta valorização de até 109,1% https://t.co/zEMfy27onc",0,0
Wed Oct 21 19:57:06 +0000 2020,1319004805268983815,Estão fazendo com os bancos públicos o mesmo que fazem na Petrobrás.  Dividem e vendem aos pedaços. https://t.co/MPnTCFEJD1,4,16
Wed Oct 21 19:49:45 +0000 2020,1319002957598347264,Petrobras: a venda das refinarias e a volta ao passado https://t.co/eHXnE5gK1D,0,0
Wed Oct 21 19:38:27 +0000 2020,1319000113075884033,"@petrobras 
O preço do DIESEL precisa ser substancialmente REDUZIDO!!!
Desgraça .

Desgraçados aqueles que desejam a inflação.  Desgraçados aqueles que praticam o estelionato , o peculato e o tráfico de influência contra a nação...",0,0
Wed Oct 21 19:27:20 +0000 2020,1318997314510356480,"Petrobras vê crescimento de 5,4% na produção de óleo e gás no 3º trimestre
https://t.co/3W3dCkZVfl",0,0
Wed Oct 21 19:16:18 +0000 2020,1318994540456517636,"@LulaOficial quando tu exportou os recursos brasileiros via BNDES, entregou anexo da Petrobrás a  Morales, qd exportou construções à nações socialistas via empreiteiras ""amigas"", tu era subserviente a Deus ou ao diabo, seu bandido corrupto?
Siga mudo.
https://t.co/FrVqPF9o0t",0,0
Wed Oct 21 19:10:25 +0000 2020,1318993060060143619,#Curriculo de #Analista em #RiodeJaneiro #RJ #petrobras #comunicativa #sap #estacio #sapr3 #curr #vagas #emprego #oportunidades #trabalho #recolocacao #queroemprego #procuroemprego #rh https://t.co/m0Vsc0hSRE,0,0
Wed Oct 21 19:02:48 +0000 2020,1318991142193668096,"Em um ano desafiador como 2020, nosso desempenho operacional tem mantido nossa companhia em uma trajetória sólida e bem-sucedida. Nossa produção de petróleo cresceu e recuperamos nossa produção de combustíveis. #ResultadosPetrobras",6,58
Wed Oct 21 19:02:37 +0000 2020,1318991094714146818,Por isso a necessidade de defendermos as estatais e as universidades públicas! Setor privado algum desenvolve tecnologias sem visar exclusivamente o lucro... https://t.co/Pe6f7nT0qv,0,1
Wed Oct 21 19:01:04 +0000 2020,1318990704476028929,"O Laboratório de Ecologia e Conservação (LABEC) da PUC-PR promove nessa quarta às 19h a palestra 'Desafios para a conservação de Albatrozes e Petréis no Antropoceno', ministrada Dimas Gianuca, nosso Coordenador Científico.

➡ https://t.co/hGSO4ceJWk

#ProjetoAlbatroz @Petrobras https://t.co/Qdd9ilBTnS",1,3
Wed Oct 21 18:59:25 +0000 2020,1318990290632531969,"Bolsorabo sobre aquele patrocínio da Petrobrás com a McLaren: ""700 milhões de reais pra dois pilotos botar um capacete com a bandeirinha do Brasil""

KKKKKKKKKKKKKKKKKKKKKKK ENTENDE MUITO !",0,2
Wed Oct 21 18:43:56 +0000 2020,1318986395701174275,#LavaJato: PF cumpre mandados por fraudes na Petrobras; seis agentes públicos participavam do esquema ilegal https://t.co/aqwiaeYCx9,0,1
Wed Oct 21 18:43:51 +0000 2020,1318986372540256256,#LavaJato: PF cumpre mandados por fraudes na Petrobras; seis agentes públicos participavam do esquema ilegal https://t.co/0NxbBtk7gp,0,0
Wed Oct 21 18:37:41 +0000 2020,1318984822593851392,"Contaminação pelo novo coronavírus não é acidente de trabalho, afirma Petrobras https://t.co/M62Ps8G5oX",0,2
Wed Oct 21 18:35:04 +0000 2020,1318984161466736644,"Tem coisas tão complexas q não consigo compreender:
Ouço a tempos q nunca houve corrupção na Petrobras. Daí leio um post aqui dizendo q a Lava Jato tentou roubar o dinheiro da Petrobras.
Que dinheiro se não houve roubo.
Dos mesmos autores.
É um exercício de elasticidade quântica.",0,0
Wed Oct 21 18:30:50 +0000 2020,1318983096595828737,"Contaminação pelo novo coronavírus não é acidente de trabalho, afirma Petrobras

https://t.co/PfbYSIwyAS",0,0
Wed Oct 21 18:29:48 +0000 2020,1318982835429167110,"Depois de ter publicado fortes números operacionais na noite de terça-feira e elevado suas metas de produção para o ano, as ações da Petrobras operavam em queda.
Saiba mais: https://t.co/1sL0jTCA3q
#spacemoney #acoes",0,0
Wed Oct 21 18:25:03 +0000 2020,1318981641440735237,Confira a moção de repúdio às perseguições na Petrobrás: https://t.co/XHdePtn6oo,0,1
Wed Oct 21 18:18:51 +0000 2020,1318980081499447297,"Estrutura metálica pintada com nosso poliuretano norma Petrobras, resistência e proteção para o seu negócio!
Amarelo 300 no acabento dessa peça.

#sherwinwilliams 
#sherwinwilliamspaint em Sherwin-Williams Sumaré https://t.co/pnqBxVVTs0",0,0
Wed Oct 21 18:15:54 +0000 2020,1318979337509621760,"@senadorhumberto = suspeito de ter recebido propina oriunda de contratos superfaturados da Petrobrás com a Odebrecht. Desde o início do mês, os casos penais são julgados pelo Plenário do Supremo, justamente o órgão do STF cujos julgamentos são transmitidos pela TV Justiça. #fim https://t.co/lcqoc5ktoz",0,0
Wed Oct 21 18:15:25 +0000 2020,1318979217640595461,Petrobras divulga dados de produção e vendas no 3º trimestre https://t.co/KnrkH7x07k,0,0
Wed Oct 21 18:13:47 +0000 2020,1318978807571877889,"Petrobras anunciou novo recorde de exportações de petróleo em set/20: média de 1,06 milhão de barris/dia (Valor Econômico, 21/10/20).",0,0
Wed Oct 21 18:13:18 +0000 2020,1318978683785388034,"A Petrobras anunciou nesta terça-feira (20) um reajuste de 5% no preço médio do gás de cozinha, passando a equivaler R$ 30,74 por botijão de 13kg, sem impostos e margem de distribuição.

#gasecozinha #petrobras",5,63
Wed Oct 21 18:12:16 +0000 2020,1318978423151161346,"Diretores do NF são impedidos de entrar na base da Petrobras em Imboassica

https://t.co/KQfvI1bb9U",0,2
Wed Oct 21 18:11:38 +0000 2020,1318978265537798144,"Três instituições que saíram do Flamengo para conhecer o desgosto, a tristeza e a saudade: Petrobras, Lucas Paquetá e Vinicius Jr. Voltem, amores.",0,12
Wed Oct 21 18:06:25 +0000 2020,1318976950547992577,"Resultado operacional da Petrobras no 3tri20 agrada analistas. Mas a preocupação é com o preço do petróleo, que pode ser um obstáculo para a petroleira, que tem montado a sua estratégia no aumento da produção em campos do pré-sal. Leia em: https://t.co/hCQkecdmqj https://t.co/wCodJpMmYI",0,5
Wed Oct 21 18:05:24 +0000 2020,1318976697543368704,#Curriculo de #Secretaria #Area #Administrativa em #RiodeJaneiro #RJ #petrobras #windows #viagens #curr #vagas #emprego #oportunidades #trabalho #recolocacao #queroemprego #procuroemprego #rh https://t.co/UTz1kGZfMl,0,0
Wed Oct 21 17:58:16 +0000 2020,1318974899394957314,#ERA #BOLSONARO...Petrobras aumenta preço do gás de cozinha em 5% https://t.co/1pZd0Psl89,1,2
Wed Oct 21 17:55:35 +0000 2020,1318974226708258816,"Então, um dos maiores ""crimes"" da Dilma foi levar a Petrobrás para explorar o petróleo dos EUA. 
Aí os trouxas do BR acreditaram em pedalada e corrupção. Mas o que teve foi inteligência de mercado do BR e golpe de concorrência dos EUA. https://t.co/b6a88eluty",2,11
Wed Oct 21 17:43:39 +0000 2020,1318971221590085634,"Ciro Gomes | STF libera entrega das Refinarias da Petrobrás, ""Vou prende... https://t.co/M7RiyhYbvi via @YouTube",0,0
Wed Oct 21 17:39:58 +0000 2020,1318970297677156354,RFI é direcionada à unidade de 3 mil m e traz surpresas. Leia os detalhes no #PetróleoHoje: https://t.co/bZRx1uDnll,0,0
Wed Oct 21 17:35:12 +0000 2020,1318969095350607874,"NEWS | @petrobras produz 2,952 milhões de boe/d de petróleo, gás e LGN no trimestre

fonte @RevistaDinheiro - 20 de Outubro, 2020

Saiba mais: https://t.co/olxVzD68Ye

#BRATECC #Brasil #EUA #Texas #Governo #Petrobras #Petroleo #Oleo #Barris #Dados #Gas #Business #Mercado #Oil #TX",0,0
